Date,Open,High,Low,Close,Adj Close,Volume,TIC
2022-01-27,72.0,82.80000305175781,72.0,74.55000305175781,74.55000305175781,148675,MHLXMIRU.NS
2022-01-28,77.4000015258789,82.0,72.1500015258789,75.69999694824219,75.69999694824219,94926,MHLXMIRU.NS
2022-01-31,80.5,80.5,71.0,71.3499984741211,71.3499984741211,68741,MHLXMIRU.NS
2022-02-01,65.19999694824219,78.0,65.19999694824219,72.8499984741211,72.8499984741211,66477,MHLXMIRU.NS
2022-02-02,75.0,76.6500015258789,72.5,74.0999984741211,74.0999984741211,42919,MHLXMIRU.NS
2022-02-03,75.05000305175781,75.94999694824219,73.19999694824219,73.6500015258789,73.6500015258789,46219,MHLXMIRU.NS
2022-02-04,74.30000305175781,79.05000305175781,74.0,74.30000305175781,74.30000305175781,47725,MHLXMIRU.NS
2022-02-07,74.4000015258789,89.1500015258789,74.4000015258789,89.1500015258789,89.1500015258789,140274,MHLXMIRU.NS
2022-02-08,99.0,106.94999694824219,96.0,106.94999694824219,106.94999694824219,350797,MHLXMIRU.NS
2022-02-09,117.5,117.5999984741211,115.5999984741211,117.5999984741211,117.5999984741211,61715,MHLXMIRU.NS
2022-02-10,129.35000610351562,129.35000610351562,110.1500015258789,129.35000610351562,129.35000610351562,450662,MHLXMIRU.NS
2022-02-11,136.39999389648438,142.25,131.0500030517578,142.25,142.25,501664,MHLXMIRU.NS
2022-02-14,139.5,149.35000610351562,135.25,149.35000610351562,149.35000610351562,329034,MHLXMIRU.NS
2022-02-15,152.0,156.8000030517578,150.5500030517578,156.8000030517578,156.8000030517578,138803,MHLXMIRU.NS
2022-02-16,164.60000610351562,164.60000610351562,155.0500030517578,164.60000610351562,164.60000610351562,162325,MHLXMIRU.NS
2022-02-17,167.0,170.60000610351562,156.39999389648438,156.39999389648438,156.39999389648438,174885,MHLXMIRU.NS
2022-02-18,148.60000610351562,148.60000610351562,148.60000610351562,148.60000610351562,148.60000610351562,13057,MHLXMIRU.NS
2022-02-21,141.1999969482422,141.1999969482422,141.1999969482422,141.1999969482422,141.1999969482422,3162,MHLXMIRU.NS
2022-02-22,134.14999389648438,134.14999389648438,134.14999389648438,134.14999389648438,134.14999389648438,3391,MHLXMIRU.NS
2022-02-23,127.44999694824219,140.85000610351562,127.44999694824219,128.5500030517578,128.5500030517578,270353,MHLXMIRU.NS
2022-02-24,122.5,134.39999389648438,122.1500015258789,123.3499984741211,123.3499984741211,96315,MHLXMIRU.NS
2022-02-25,124.0,129.5,124.0,129.5,129.5,16615,MHLXMIRU.NS
2022-02-28,123.5,129.35000610351562,123.05000305175781,125.25,125.25,47608,MHLXMIRU.NS
2022-03-02,125.25,131.5,123.69999694824219,129.85000610351562,129.85000610351562,15961,MHLXMIRU.NS
2022-03-03,134.64999389648438,136.3000030517578,130.3000030517578,136.3000030517578,136.3000030517578,13520,MHLXMIRU.NS
2022-03-04,138.0,142.4499969482422,138.0,139.8000030517578,139.8000030517578,54941,MHLXMIRU.NS
2022-03-07,138.0,142.39999389648438,132.85000610351562,132.85000610351562,132.85000610351562,15104,MHLXMIRU.NS
2022-03-08,126.75,132.0,126.25,126.8499984741211,126.8499984741211,17375,MHLXMIRU.NS
2022-03-09,122.25,130.14999389648438,122.25,128.39999389648438,128.39999389648438,8966,MHLXMIRU.NS
2022-03-10,132.64999389648438,134.10000610351562,129.85000610351562,131.8000030517578,131.8000030517578,11112,MHLXMIRU.NS
2022-03-11,126.0,134.0,126.0,127.5,127.5,6919,MHLXMIRU.NS
2022-03-14,128.0,132.6999969482422,121.1500015258789,123.05000305175781,123.05000305175781,20105,MHLXMIRU.NS
2022-03-15,121.0999984741211,125.94999694824219,116.9000015258789,117.25,117.25,16783,MHLXMIRU.NS
2022-03-16,122.80000305175781,122.80000305175781,116.0,118.5999984741211,118.5999984741211,10268,MHLXMIRU.NS
2022-03-17,119.0,123.0999984741211,117.5,118.3499984741211,118.3499984741211,4671,MHLXMIRU.NS
2022-03-21,123.0,123.0,112.44999694824219,113.5999984741211,113.5999984741211,16938,MHLXMIRU.NS
2022-03-22,118.0,119.0,109.0,116.8499984741211,116.8499984741211,21157,MHLXMIRU.NS
2022-03-23,112.5,120.0,112.5,118.9000015258789,118.9000015258789,16693,MHLXMIRU.NS
2022-03-24,122.30000305175781,124.80000305175781,119.19999694824219,124.80000305175781,124.80000305175781,15868,MHLXMIRU.NS
2022-03-25,130.75,131.0,127.8499984741211,131.0,131.0,17543,MHLXMIRU.NS
2022-03-28,125.0,137.5500030517578,125.0,132.9499969482422,132.9499969482422,17109,MHLXMIRU.NS
2022-03-29,137.0,137.0,126.3499984741211,126.3499984741211,126.3499984741211,13044,MHLXMIRU.NS
2022-03-30,123.3499984741211,131.1999969482422,121.3499984741211,125.05000305175781,125.05000305175781,11065,MHLXMIRU.NS
